gle read:2.00 | controller signal:1300.40 | 
17:37:43.419 -> angle read:24.00 | controller signal:1646.30 | 
17:37:43.488 -> angle read:24.00 | controller signal:1642.70 | 
17:37:43.523 -> angle read:24.00 | controller signal:1642.70 | 
17:37:43.558 -> angle read:24.00 | controller signal:1644.00 | 
17:37:43.626 -> angle read:24.00 | controller signal:1644.00 | 
17:37:43.661 -> angle read:24.00 | controller signal:1644.00 | 
17:37:43.731 -> angle read:24.00 | controller signal:1645.00 | 
17:37:43.765 -> angle read:24.00 | controller signal:1645.00 | 
17:37:43.835 -> angle read:24.00 | controller signal:1645.00 | 
17:37:43.869 -> angle read:24.00 | controller signal:1646.00 | 
17:37:43.938 -> angle read:24.00 | controller signal:1646.00 | 
17:37:43.972 -> angle read:25.00 | controller signal:1641.70 | 
17:37:44.007 -> angle read:24.00 | controller signal:1641.70 | 
17:37:44.077 -> angle read:25.00 | controller signal:1642.00 | 
17:37:44.112 -> angle read:24.00 | controller signal:1642.00 | 
17:37:44.182 -> angle read:24.00 | controller signal:1647.30 | 
17:37:44.217 -> angle read:25.00 | controller signal:1647.30 | 
17:37:44.287 -> angle read:24.00 | controller signal:1648.00 | 
17:37:44.322 -> angle read:24.00 | controller signal:1648.00 | 
17:37:44.356 -> angle read:25.00 | controller signal:1643.70 | 
17:37:44.425 -> angle read:24.00 | controller signal:1643.70 | 
17:37:44.460 -> angle read:25.00 | controller signal:1643.70 | 
17:37:44.530 -> angle read:24.00 | controller signal:1649.30 | 
17:37:44.565 -> angle read:24.00 | controller signal:1649.30 | 
17:37:44.635 -> angle read:25.00 | controller signal:1644.70 | 
17:37:44.669 -> angle read:25.00 | controller signal:1644.70 | 
17:37:44.703 -> angle read:24.00 | controller signal:1650.30 | 
17:37:44.772 -> angle read:24.00 | controller signal:1650.30 | 
17:37:44.807 -> angle read:24.00 | controller signal:1650.30 | 
17:37:44.877 -> angle read:24.00 | controller signal:1651.00 | 
17:37:44.912 -> angle read:24.00 | controller signal:1651.00 | 
17:37:44.981 -> angle read:24.00 | controller signal:1652.00 | 
17:37:45.016 -> angle read:25.00 | controller signal:1652.00 | 
17:37:45.084 -> angle read:25.00 | controller signal:1652.00 | 
17:37:45.119 -> angle read:25.00 | controller signal:1647.70 | 
17:37:45.154 -> angle read:24.00 | controller signal:1647.70 | 
17:37:45.224 -> angle read:25.00 | controller signal:1648.00 | 
